Ensembl hit	Gene Name	Description	Gene Type	Genomic Location	Other Names
ENSG00000224802	TUBB4BP2	TUBB4B pseudogene 2 	processed pseudogene	Chromosome 9: 34109171-34109968reverse strand	-
ENSG00000279718	SNX18P12	sorting nexin 18 pseudogene 12 	processed pseudogene	Chromosome 21: 9364467-9365225reverse strand	-
ENSG00000231096	NDUFB4P3	NADH:ubiquinone oxidoreductase subunit B4 pseudogene 3 	processed pseudogene	Chromosome 17: 19840126-19840515forward strand	-
ENSG00000230359	TPI1P2	triosephosphate isomerase 1 pseudogene 2 	transcribed processed pseudogene	Chromosome 7: 129055223-129057239forward strand	-
ENSG00000163060	TEKT4	tektin 4 	protein coding	Chromosome 2: 94871430-94876823forward strand	-
ENSG00000235066	AC009303.2	"novel transcript, antisense to CCDC93"	lncRNA	Chromosome 2: 117995397-118055033forward strand	-
ENSG00000165621	OXGR1	oxoglutarate receptor 1 	protein coding	Chromosome 13: 96985719-96994730reverse strand	-
ENSG00000238094	AC245036.4	pseudogene similar to part of leukocyte immunoglobulin-like receptor proteins	unprocessed pseudogene	Chromosome 19: 54607870-54608376forward strand	-
ENSG00000265170	RN7SL667P	"RNA, 7SL, cytoplasmic 667, pseudogene "	misc RNA	Chromosome X: 153403844-153404141reverse strand	-
ENSG00000231013	SCTR-AS1	SCTR antisense RNA 1 	lncRNA	Chromosome 2: 119476428-119487346forward strand	-
ENSG00000263986	AC087393.2	"novel transcript, antisense to USP22"	lncRNA	Chromosome 17: 20999747-21000323forward strand	-
ENSG00000266705	MIR4437	microRNA 4437 	miRNA	Chromosome 2: 181305593-181305652reverse strand	-
ENSG00000272112	AC011374.2	novel transcript	lncRNA	Chromosome 5: 151724831-151725356reverse strand	-
ENSG00000228804	AC072022.1	"novel transcript, antisense to RTP2 and BCL6"	lncRNA	Chromosome 3: 187702313-187733849forward strand	-
ENSG00000230345	-	-	-	-	-
ENSG00000235098	ANKRD65	ankyrin repeat domain 65 	protein coding	Chromosome 1: 1418420-1421769reverse strand	-
ENSG00000207243	Y_RNA	Y RNA 	misc RNA	Chromosome 16: 178554-178656forward strand	-
ENSG00000198711	SSBP3-AS1	SSBP3 antisense RNA 1 	lncRNA	Chromosome 1: 54236440-54239063forward strand	-
ENSG00000267110	AC010327.2	novel transcript	protein coding	Chromosome 19: 55154757-55160671reverse strand	-
ENSG00000102362	SYTL4	synaptotagmin like 4 	protein coding	Chromosome X: 100674491-100732123reverse strand	-
ENSG00000265961	Y_RNA	Y RNA 	misc RNA	Chromosome 1: 31503631-31503744reverse strand	-
ENSG00000242120	MDFIC2	MyoD family inhibitor domain containing 2 	protein coding	Chromosome 3: 70194479-70312638reverse strand	-
ENSG00000254630	AP001922.2	novel transcript	lncRNA	Chromosome 11: 75635883-75638587reverse strand	-
ENSG00000279605	AC067930.5	TEC	TEC	Chromosome 8: 143578358-143583304forward strand	-
ENSG00000273604	EPOP	elongin BC and polycomb repressive complex 2 associated protein 	protein coding	Chromosome 17: 38671703-38674957reverse strand	-
ENSG00000087077	TRIP6	thyroid hormone receptor interactor 6 	protein coding	Chromosome 7: 100867387-100873454forward strand	-
ENSG00000278221	MIR6511A2	microRNA 6511a-2 	miRNA	Chromosome 16: 16324588-16324654forward strand	-
ENSG00000075234	TTC38	tetratricopeptide repeat domain 38 	protein coding	Chromosome 22: 46267961-46294008forward strand	-
ENSG00000251994	RNU2-27P	"RNA, U2 small nuclear 27, pseudogene "	snRNA	Chromosome 18: 9518119-9518260reverse strand	-
ENSG00000264200	MIR4693	microRNA 4693 	miRNA	Chromosome 11: 103849906-103849980forward strand	-
ENSG00000137337	MDC1	mediator of DNA damage checkpoint 1 	protein coding	Chromosome 6: 30699807-30717447reverse strand	-
ENSG00000261466	AC136944.4	novel transcript	lncRNA	Chromosome 16: 33548297-33554408reverse strand	-
ENSG00000144331	ZNF385B	zinc finger protein 385B 	protein coding	Chromosome 2: 179441982-179861612reverse strand	-
ENSG00000142615	CELA2A	chymotrypsin like elastase 2A 	protein coding	Chromosome 1: 15456728-15472091forward strand	-
ENSG00000233156	HSFY8P	"heat shock transcription factor Y-linked 8, pseudogene "	unprocessed pseudogene	Chromosome Y: 26011435-26012237forward strand	-
ENSG00000239555	RN7SL841P	"RNA, 7SL, cytoplasmic 841, pseudogene "	misc RNA	Chromosome 16: 55291379-55291675reverse strand	-
ENSG00000234358	AC003080.1	ribosomal protein L8 (RPL8) pseudogene	processed pseudogene	Chromosome 7: 111971222-111971988reverse strand	-
ENSG00000119147	ECRG4	ECRG4 augurin precursor 	protein coding	Chromosome 2: 106063246-106078155forward strand	-
ENSG00000205085	FAM71F2	family with sequence similarity 71 member F2 	protein coding	Chromosome 7: 128672288-128687872forward strand	-
ENSG00000258185	AC010196.1	novel transcript	lncRNA	Chromosome 12: 86599578-86838998reverse strand	-
ENSG00000088205	DDX18	DEAD-box helicase 18 	protein coding	Chromosome 2: 117814691-117832377forward strand	-
ENSG00000233791	LINC01136	long intergenic non-protein coding RNA 1136 	lncRNA	Chromosome 1: 203298758-203305309reverse strand	-
ENSG00000249753	AC084357.2	antisense to TMEM5	lncRNA	Chromosome 12: 63623788-63795718reverse strand	-
ENSG00000273975	Metazoa_SRP	Metazoan signal recognition particle RNA 	misc RNA	Chromosome 2: 201097744-201098091forward strand	-
ENSG00000112115	IL17A	interleukin 17A 	protein coding	Chromosome 6: 52186375-52190638forward strand	-
ENSG00000221669	MIR548N	microRNA 548n 	miRNA	Chromosome 7: 34940760-34940834reverse strand	-
ENSG00000258206	AC137768.1	TM2 domain containing 3 (TM2D3) pseudogene	processed pseudogene	Chromosome 12: 85781892-85782444reverse strand	-
ENSG00000201318	SNORD114-30	"small nucleolar RNA, C/D box 114-30 "	snoRNA	Chromosome 14: 100991919-100991990forward strand	-
ENSG00000230362	ACTG1P23	actin gamma 1 pseudogene 23 	processed pseudogene	Chromosome 3: 175977497-175978570reverse strand	-
ENSG00000255357	AC055878.1	novel transcript	lncRNA	Chromosome 11: 22492087-22510396forward strand	-
ENSG00000225055	AL606490.1	ornithine aminotransferase (gyrate atrophy) (OAT) pseudogene	processed pseudogene	Chromosome X: 48357125-48359495forward strand	-
ENSG00000152102	FAM168B	family with sequence similarity 168 member B 	protein coding	Chromosome 2: 131047876-131093460reverse strand	-
ENSG00000223969	AC002456.1	novel transcript	lncRNA	Chromosome 7: 90590619-90597353reverse strand	-
ENSG00000211880	TRAJ9	T cell receptor alpha joining 9 	TR J gene	Chromosome 14: 22535554-22535614forward strand	-
ENSG00000245148	ARAP1-AS2	ARAP1 antisense RNA 2 	lncRNA	Chromosome 11: 72700474-72705607forward strand	-
ENSG00000237373	BRWD1-IT1	BRWD1 intronic transcript 1 	lncRNA	Chromosome 21: 39217093-39219805reverse strand	-
ENSG00000280655	AC134981.1	novel gene identical to IGHV1OR15-4	IG V pseudogene	Chromosome 15: 21752278-21752710reverse strand	-
ENSG00000263154	AC110285.3	novel transcript	lncRNA	Chromosome 17: 81362272-81374214forward strand	-
ENSG00000256643	LINC02441	long intergenic non-protein coding RNA 2441 	lncRNA	Chromosome 12: 128023788-128027166reverse strand	-
ENSG00000234265	LINC01723	long intergenic non-protein coding RNA 1723 	lncRNA	Chromosome 20: 12950288-13008417forward strand	-
ENSG00000239426	OR8F1P	olfactory receptor family 8 subfamily F member 1 pseudogene 	unprocessed pseudogene	Chromosome 11: 124207183-124208112forward strand	-
ENSG00000271264	MZT1P1	mitotic spindle organizing protein 1 pseudogene 1 	processed pseudogene	Chromosome 1: 9780822-9781240forward strand	-
ENSG00000139971	ARMH4	armadillo like helical domain containing 4 	protein coding	Chromosome 14: 57999735-58298139reverse strand	-
ENSG00000278131	AC116050.1	otopetrin 1 (OTOP1) pseudogene	unprocessed pseudogene	Chromosome 2: 91589494-91621421forward strand	-
ENSG00000257067	LINC02703	long intergenic non-protein coding RNA 2703 	lncRNA	Chromosome 11: 115920248-115943181forward strand	-
ENSG00000276169	MIR6871	microRNA 6871 	miRNA	Chromosome 20: 41169023-41169078forward strand	-
ENSG00000256671	LIMS4	LIM zinc finger domain containing 4 	protein coding	Chromosome 2: 110446640-110473075reverse strand	-
ENSG00000235422	KATNBL1P3	katanin regulatory subunit B1 like 1 pseudogene 3 	processed pseudogene	Chromosome 18: 2593674-2594913reverse strand	-
ENSG00000232434	AJM1	apical junction component 1 homolog 	protein coding	Chromosome 9: 136844415-136848801forward strand	-
ENSG00000265645	-	-	-	-	-
ENSG00000254975	AP001189.4	novel transcript	lncRNA	Chromosome 11: 76675079-76703195forward strand	-
ENSG00000137331	IER3	immediate early response 3 	protein coding	Chromosome 6: 30743199-30744548reverse strand	-
ENSG00000259450	-	-	-	-	-
ENSG00000281075	-	-	-	-	-
ENSG00000276478	AL772337.4	death-associated protein kinase 1 (DAPK1) pseudogene	unprocessed pseudogene	Chromosome 9: 87799501-87821803reverse strand	-
ENSG00000271644	AC242498.1	"RAP1, GTP-GDP dissociation stimulator 1 (RAP1GDS1) pseudogene"	processed pseudogene	Chromosome 1: 144965025-144965135forward strand	-
ENSG00000214814	FER1L6	fer-1 like family member 6 	protein coding	Chromosome 8: 123851987-124120061forward strand	-
ENSG00000149308	NPAT	"nuclear protein, coactivator of histone transcription "	protein coding	Chromosome 11: 108157215-108222638reverse strand	-
ENSG00000235257	ITGA9-AS1	ITGA9 antisense RNA 1 	lncRNA	Chromosome 3: 37693655-37861802reverse strand	-
ENSG00000279593	AL132642.2	TEC	TEC	Chromosome 14: 93895762-93897759forward strand	-
ENSG00000238446	RNU7-38P	"RNA, U7 small nuclear 38 pseudogene "	snRNA	Chromosome 10: 71844735-71844794reverse strand	-
ENSG00000220541	PPIHP2	peptidylprolyl isomerase H pseudogene 2 	processed pseudogene	Chromosome X: 113522482-113522989forward strand	-
ENSG00000255198	SNHG9	small nucleolar RNA host gene 9 	lncRNA	Chromosome 16: 1964959-1965509forward strand	-
ENSG00000116717	GADD45A	growth arrest and DNA damage inducible alpha 	protein coding	Chromosome 1: 67685201-67688334forward strand	-
ENSG00000175592	FOSL1	"FOS like 1, AP-1 transcription factor subunit "	protein coding	Chromosome 11: 65892049-65900573reverse strand	-
ENSG00000279762	AC005899.8	"novel transcript, antisense to PSMD11"	lncRNA	Chromosome 17: 32423971-32446038reverse strand	-
ENSG00000277468	AL133467.6	-	misc RNA	Chromosome 14: 95670441-95670577forward strand	-
ENSG00000254413	CHKB-CPT1B	CHKB-CPT1B readthrough (NMD candidate) 	protein coding	Chromosome 22: 50568869-50582965reverse strand	-
ENSG00000176182	MYPOP	"Myb related transcription factor, partner of profilin "	protein coding	Chromosome 19: 45890023-45902613reverse strand	-
ENSG00000263535	AK4P1	adenylate kinase 4 pseudogene 1 	processed pseudogene	Chromosome 17: 31345519-31346190forward strand	-
ENSG00000141569	TRIM65	tripartite motif containing 65 	protein coding	Chromosome 17: 75880335-75896951reverse strand	-
ENSG00000240296	AC245052.5	YME1-like 1 (S. cerevisiae) (YME1L1) pseudogene	processed pseudogene	Chromosome 19: 54268005-54269045forward strand	-
ENSG00000262085	OR1P1	olfactory receptor family 1 subfamily P member 1 (gene/pseudogene) 	polymorphic pseudogene	Chromosome 17: 3153889-3154882reverse strand	-
ENSG00000184908	CLCNKB	chloride voltage-gated channel Kb 	protein coding	Chromosome 1: 16043736-16057308forward strand	-
ENSG00000271488	RBM11P1	RNA binding motif protein 11 pseudogene 1 	processed pseudogene	Chromosome 6: 132764660-132765458forward strand	-
ENSG00000231749	ABCA9-AS1	ABCA9 antisense RNA 1 	lncRNA	Chromosome 17: 68944531-69042784forward strand	-
ENSG00000230710	LINC00332	long intergenic non-protein coding RNA 332 	lncRNA	Chromosome 13: 40172505-40195361forward strand	-
ENSG00000257095	AC084361.1	"novel transcript, antisense to SRRM4"	lncRNA	Chromosome 12: 119031039-119116961reverse strand	-
ENSG00000083093	PALB2	partner and localizer of BRCA2 	protein coding	Chromosome 16: 23603160-23641310reverse strand	-
ENSG00000204956	PCDHGA1	"protocadherin gamma subfamily A, 1 "	protein coding	Chromosome 5: 141330571-141512981forward strand	-
ENSG00000216098	MIR892B	microRNA 892b 	miRNA	Chromosome X: 145997198-145997274reverse strand	-
ENSG00000139973	SYT16	synaptotagmin 16 	protein coding	Chromosome 14: 61811974-62112550forward strand	-
ENSG00000254788	CKLF-CMTM1	CKLF-CMTM1 readthrough 	protein coding	Chromosome 16: 66552587-66579135forward strand	-
ENSG00000197258	EIF4BP6	eukaryotic translation initiation factor 4B pseudogene 6 	processed pseudogene	Chromosome 7: 104667749-104669576forward strand	-
ENSG00000239079	AP002762.1	-	snoRNA	Chromosome 11: 122726208-122726311reverse strand	-
ENSG00000128487	SPECC1	sperm antigen with calponin homology and coiled-coil domains 1 	protein coding	Chromosome 17: 20008865-20319026forward strand	-
ENSG00000124181	PLCG1	phospholipase C gamma 1 	protein coding	Chromosome 20: 41136960-41196801forward strand	-
ENSG00000073150	PANX2	pannexin 2 	protein coding	Chromosome 22: 50170731-50180295forward strand	-
ENSG00000229012	AC003685.1	novel transcript	lncRNA	Chromosome X: 8863861-8867601reverse strand	-
ENSG00000269001	AC092070.2	"zinc finger protein 818, pseudogene"	transcribed unprocessed pseudogene	Chromosome 19: 53197111-53214522forward strand	-
ENSG00000182952	HMGN4	high mobility group nucleosomal binding domain 4 	protein coding	Chromosome 6: 26538366-26546933forward strand	-
ENSGR0000275287	-	-	-	-	-
ENSG00000162736	NCSTN	nicastrin 	protein coding	Chromosome 1: 160343316-160358952forward strand	-
ENSG00000229043	ZFAND2A-DT	ZFAND2A divergent transcript 	lncRNA	Chromosome 7: 1160374-1165607forward strand	-
ENSG00000249326	CTD-2194D22.4	uncharacterized LOC101929081 	lncRNA	Chromosome 5: 1887332-1900493forward strand	-
ENSG00000108960	MMD	monocyte to macrophage differentiation associated 	protein coding	Chromosome 17: 55392622-55421924reverse strand	-
ENSG00000260930	LINC01416	long intergenic non-protein coding RNA 1416 	lncRNA	Chromosome 18: 55881688-55998219reverse strand	-
ENSG00000101935	AMMECR1	AMMECR nuclear protein 1 	protein coding	Chromosome X: 110194186-110440318reverse strand	-
ENSG00000233129	AL117351.1	pseudogene similar to part of NADH dehydrogenase 2 (MTND2)	processed pseudogene	Chromosome 1: 93934479-93935244reverse strand	-
ENSG00000221972	-	-	-	-	-
ENSG00000235430	ZSWIM5P1	zinc finger SWIM-type containing 5 pseudogene 1 	processed pseudogene	Chromosome 17: 15768717-15771426reverse strand	-
ENSG00000162734	PEA15	proliferation and apoptosis adaptor protein 15 	protein coding	Chromosome 1: 160205380-160215376forward strand	-
ENSG00000240940	RN7SL591P	"RNA, 7SL, cytoplasmic 591, pseudogene "	misc RNA	Chromosome 10: 62350006-62350297forward strand	-
ENSG00000147133	TAF1	TATA-box binding protein associated factor 1 	protein coding	Chromosome X: 71366264-71532374forward strand	-
ENSG00000164136	IL15	interleukin 15 	protein coding	Chromosome 4: 141636583-141733987forward strand	-
ENSG00000113889	KNG1	kininogen 1 	protein coding	Chromosome 3: 186717348-186744410forward strand	-
ENSG00000135052	GOLM1	golgi membrane protein 1 	protein coding	Chromosome 9: 86026146-86100173reverse strand	-
ENSG00000268357	VN1R81P	vomeronasal 1 receptor 81 pseudogene 	unprocessed pseudogene	Chromosome 19: 21123817-21124188forward strand	-
ENSG00000222160	Y_RNA	Y RNA 	misc RNA	Chromosome 12: 107650789-107650892forward strand	-
ENSG00000228783	H3P29	H3 histone pseudogene 29 	processed pseudogene	Chromosome 9: 1011085-1011799forward strand	-
ENSG00000200661	SNORD116-10	"small nucleolar RNA, C/D box 116-10 "	snoRNA	Chromosome 15: 25074114-25074215forward strand	-
ENSG00000271253	AC011891.3	"apoptosis-inducing, TAF9-like domain 1, pseudogene"	processed pseudogene	Chromosome 7: 12685637-12686033forward strand	-
ENSG00000236146	AL353803.3	novel pseudogene	processed pseudogene	Chromosome 9: 129380136-129380470reverse strand	-
ENSG00000259218	LINC00928	long intergenic non-protein coding RNA 928 	lncRNA	Chromosome 15: 89504909-89524049reverse strand	-
ENSG00000250392	LINC02502	long intergenic non-protein coding RNA 2502 	lncRNA	Chromosome 4: 119939540-119964293forward strand	-
ENSG00000160691	SHC1	SHC adaptor protein 1 	protein coding	Chromosome 1: 154962298-154974395reverse strand	-
ENSG00000207163	RNU6-905P	"RNA, U6 small nuclear 905, pseudogene "	snRNA	Chromosome 3: 14530982-14531088reverse strand	-
ENSG00000258868	AL110505.1	novel transcript	lncRNA	Chromosome 14: 49057713-49077505reverse strand	-
ENSG00000234210	AC006372.3	novel transcript	lncRNA	Chromosome 7: 157466231-157499716forward strand	-
ENSG00000181214	OR8G2P	olfactory receptor family 8 subfamily G member 2 pseudogene 	polymorphic pseudogene	Chromosome 11: 124224732-124225666forward strand	-
ENSG00000269534	AC011466.3	"novel transcript, antisense to LIG1"	lncRNA	Chromosome 19: 48118432-48127706forward strand	-
ENSG00000186665	C17orf58	chromosome 17 open reading frame 58 	protein coding	Chromosome 17: 67991099-67996469reverse strand	-
ENSG00000218536	AP002530.1	"laminin receptor 1 (67kD, ribosomal protein SA) (LAMR1) pseudogene"	processed pseudogene	Chromosome 6: 102078872-102079555forward strand	-
ENSG00000249444	AC114324.2	WD repeat domain 70 (WDR70) pseudogene	transcribed unprocessed pseudogene	Chromosome 5: 99489559-99499367forward strand	-
ENSG00000221220	-	-	-	-	-
ENSG00000251012	AC083800.1	novel chromosome 3 open reading frame 30 (C3orf30) and uroplakin 1B (UPK1B)	protein coding	Chromosome 3: 119147375-119187807forward strand	-
ENSG00000125844	RRBP1	ribosome binding protein 1 	protein coding	Chromosome 20: 17613678-17682295reverse strand	-
ENSG00000251439	KRTAP4-17P	"keratin associated protein 4-17, pseudogene "	unprocessed pseudogene	Chromosome 17: 41186944-41187136reverse strand	-
ENSG00000259296	AC020892.2	"novel transcript, antisense to SCG3"	lncRNA	Chromosome 15: 51707995-51715220reverse strand	-
ENSG00000141564	RPTOR	regulatory associated protein of MTOR complex 1 	protein coding	Chromosome 17: 80544819-80966371forward strand	-
ENSG00000251105	AC110792.1	cytochrome c oxidase subunit VIc (COX6C) pseudogene	processed pseudogene	Chromosome 4: 54076625-54076848forward strand	-
ENSG00000166762	CATSPER2	cation channel sperm associated 2 	protein coding	Chromosome 15: 43628503-43668118reverse strand	-
ENSG00000267218	AC005336.2	polymerase (RNA) mitochondrial (DNA directed) (POLRMT) pseudogene	processed pseudogene	Chromosome 19: 15902300-15903238reverse strand	-
ENSG00000267447	-	-	-	-	-
ENSG00000121406	ZNF549	zinc finger protein 549 	protein coding	Chromosome 19: 57527325-57557542forward strand	-
ENSG00000183783	KCTD8	potassium channel tetramerization domain containing 8 	protein coding	Chromosome 4: 44173903-44448809reverse strand	-
ENSG00000151693	ASAP2	"ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 "	protein coding	Chromosome 2: 9206765-9405683forward strand	-
ENSG00000227039	ITGB2-AS1	ITGB2 antisense RNA 1 	lncRNA	Chromosome 21: 44921051-44929678forward strand	-
ENSG00000198881	ASB12	ankyrin repeat and SOCS box containing 12 	protein coding	Chromosome X: 64224194-64230607reverse strand	-
ENSG00000132549	VPS13B	vacuolar protein sorting 13 homolog B 	protein coding	Chromosome 8: 99013266-99877580forward strand	-
ENSG00000225546	LINC02476	long intergenic non-protein coding RNA 2476 	lncRNA	Chromosome 7: 119495024-119907397reverse strand	-
ENSG00000136848	DAB2IP	DAB2 interacting protein 	protein coding	Chromosome 9: 121567057-121785530forward strand	-
ENSG00000240093	AC093627.3	novel transcript	lncRNA	Chromosome 7: 182935-194180reverse strand	-
ENSG00000231252	AC099792.1	novel transcript	lncRNA	Chromosome 1: 60659631-60868009reverse strand	-
ENSG00000276094	SNORA70	Small nucleolar RNA SNORA70 	snoRNA	Chromosome 9: 41573512-41573606reverse strand	-
ENSG00000238532	-	-	-	-	-
ENSG00000281514	-	-	-	-	-
ENSG00000234701	PRDX3P3	peroxiredoxin 3 pseudogene 3 	processed pseudogene	Chromosome 13: 38617419-38617940reverse strand	-
ENSG00000241226	RN7SL836P	"RNA, 7SL, cytoplasmic 836, pseudogene "	misc RNA	Chromosome 19: 45651510-45651805forward strand	-
ENSG00000256659	LINC02368	long intergenic non-protein coding RNA 2368 	lncRNA	Chromosome 12: 128116730-128123103forward strand	-
ENSG00000270437	AC009501.1	BAI1-associated protein 2-like 1 (BAIAP2L1) pseudogene	processed pseudogene	Chromosome 2: 63083008-63087322forward strand	-
ENSG00000230828	AL583843.1	novel pseudogene	processed pseudogene	Chromosome 1: 50114937-50115282forward strand	-
ENSG00000136295	TTYH3	tweety family member 3 	protein coding	Chromosome 7: 2631986-2664802forward strand	-
ENSG00000222704	RN7SKP182	RN7SK pseudogene 182 	misc RNA	Chromosome 18: 39016047-39016344reverse strand	-
ENSG00000198090	KRTAP4-6	keratin associated protein 4-6 	protein coding	Chromosome 17: 41139433-41140487reverse strand	-
ENSG00000171067	C11orf24	chromosome 11 open reading frame 24 	protein coding	Chromosome 11: 68261338-68272001reverse strand	-
ENSG00000266928	AC020905.1	novel transcript	lncRNA	Chromosome 19: 28294093-28313500reverse strand	-
ENSG00000244273	PGBD4P1	piggyBac transposable element derived 4 pseudogene 1 	processed pseudogene	Chromosome 7: 142722358-142722764forward strand	-
ENSG00000269014	AC008622.1	heterogeneous nuclear ribonucleoprotein A1-like 2 (HNRNPA1L2) pseudogene	processed pseudogene	Chromosome 19: 46826895-46828440reverse strand	-
ENSG00000125846	ZNF133	zinc finger protein 133 	protein coding	Chromosome 20: 18288283-18316996forward strand	-
ENSG00000281220	-	-	-	-	-
ENSG00000225999	NDUFA12P1	NADH:ubiquinone oxidoreductase subunit A12 pseudogene 1 	processed pseudogene	Chromosome 13: 100027769-100028174reverse strand	-
ENSG00000144485	HES6	hes family bHLH transcription factor 6 	protein coding	Chromosome 2: 238238267-238240662reverse strand	-
ENSG00000236938	AC003092.2	novel transcript	lncRNA	Chromosome 7: 94071759-94077157reverse strand	-
ENSG00000198523	PLN	phospholamban 	protein coding	Chromosome 6: 118548296-118561716forward strand	-
ENSG00000277803	AC099842.1	"protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor) (PRKRIR) pseudogene"	processed pseudogene	Chromosome 11: 23886135-23893557forward strand	-
ENSG00000232370	BAG1P1	BAG1 pseudogene 1 	processed pseudogene	Chromosome X: 38479215-38479913forward strand	-
ENSG00000173376	NDNF	neuron derived neurotrophic factor 	protein coding	Chromosome 4: 121035613-121073021reverse strand	-
ENSG00000281290	-	-	-	-	-
ENSG00000238738	-	-	-	-	-
ENSG00000077498	TYR	tyrosinase 	protein coding	Chromosome 11: 89177875-89295759forward strand	-
ENSG00000203721	LINC00862	long intergenic non-protein coding RNA 862 	lncRNA	Chromosome 1: 200253419-200400705reverse strand	-
ENSG00000141568	FOXK2	forkhead box K2 	protein coding	Chromosome 17: 82519713-82644662forward strand	-
ENSG00000233797	UFL1-AS1	UFL1 antisense RNA 1 	lncRNA	Chromosome 6: 96199840-96521717reverse strand	-
ENSG00000222858	RNU6-920P	"RNA, U6 small nuclear 920, pseudogene "	snRNA	Chromosome 17: 29641611-29641702reverse strand	-
ENSG00000279011	AC091905.2	tec	TEC	Chromosome 5: 10057502-10057807forward strand	-
ENSG00000231926	SEPHS1P7	selenophosphate synthetase 1 pseudogene 7 	processed pseudogene	Chromosome 2: 114260050-114261226reverse strand	-
ENSG00000105755	ETHE1	ETHE1 persulfide dioxygenase 	protein coding	Chromosome 19: 43506719-43527230reverse strand	-
ENSG00000235984	GPC5-AS1	GPC5 antisense RNA 1 	lncRNA	Chromosome 13: 92701389-92721614reverse strand	-
ENSG00000082482	KCNK2	potassium two pore domain channel subfamily K member 2 	protein coding	Chromosome 1: 215005775-215237090forward strand	-
ENSG00000140807	NKD1	NKD inhibitor of WNT signaling pathway 1 	protein coding	Chromosome 16: 50548396-50649249forward strand	-
ENSG00000270781	AC091133.6	ribosomal protein L37 (RPL37) pseudogene	processed pseudogene	Chromosome 17: 48899131-48899748forward strand	-
ENSG00000228226	AC012070.1	novel transcript	lncRNA	Chromosome 2: 228683537-228684580reverse strand	-
ENSG00000226862	AC104463.2	novel transcript	lncRNA	Chromosome 1: 202604268-202605293forward strand	-
ENSG00000244099	RPS23P3	ribosomal protein S23 pseudogene 3 	processed pseudogene	Chromosome 4: 66431092-66431521forward strand	-
ENSG00000272844	AC074044.1	"novel transcript, antisense to GTPBP8"	lncRNA	Chromosome 3: 112990447-112991153reverse strand	-
ENSG00000212276	RNA5SP292	"RNA, 5S ribosomal pseudogene 292 "	rRNA pseudogene	Chromosome 9: 106843749-106843866reverse strand	-
ENSG00000221235	-	-	-	-	-
ENSG00000203877	RIPPLY2	ripply transcriptional repressor 2 	protein coding	Chromosome 6: 83853266-83857515forward strand	-
ENSG00000230178	OR4F3	olfactory receptor family 4 subfamily F member 3 	protein coding	Chromosome 5: 181367268-181368262forward strand	-
ENSG00000233839	AL357055.1	ribosomal protein S19 (RPS19) pseudogene	processed pseudogene	Chromosome 1: 113168994-113169403forward strand	-
ENSG00000246898	LINC00920	long intergenic non-protein coding RNA 920 	lncRNA	Chromosome 16: 66408524-66412135forward strand	-
ENSG00000065618	COL17A1	collagen type XVII alpha 1 chain 	protein coding	Chromosome 10: 104031286-104085880reverse strand	-
ENSG00000124562	SNRPC	small nuclear ribonucleoprotein polypeptide C 	protein coding	Chromosome 6: 34757505-34773857forward strand	-
ENSG00000275765	AC091982.3	novel transcript	lncRNA	Chromosome 5: 151770242-151771508reverse strand	-
ENSG00000173464	RNASE11	ribonuclease A family member 11 (inactive) 	protein coding	Chromosome 14: 20583559-20609884reverse strand	-
ENSG00000257408	AC092375.1	"ATP-binding cassette, sub-family A (ABC1), member 3 (ABCA3) pseudogene"	transcribed unprocessed pseudogene	Chromosome 16: 21938865-21944987forward strand	-
ENSG00000248432	-	-	-	-	-
ENSG00000236048	SSBL5P	"SSB like 5, pseudogene "	processed pseudogene	Chromosome 7: 12471352-12472545forward strand	-
ENSG00000237331	XIAP-AS1	XIAP antisense RNA 1 	lncRNA	Chromosome X: 123872626-123873932reverse strand	-
ENSG00000240298	RPL36AP40	ribosomal protein L36a pseudogene 40 	processed pseudogene	Chromosome 11: 25588475-25588795reverse strand	-
ENSG00000224606	TGFA-IT1	TGFA intronic transcript 1 	lncRNA	Chromosome 2: 70467385-70468495reverse strand	-
ENSG00000124613	ZNF391	zinc finger protein 391 	protein coding	Chromosome 6: 27374615-27403908forward strand	-
ENSG00000275807	AC145285.6	"novel transcript, antisense to ATXN2L"	lncRNA	Chromosome 16: 28822431-28823969reverse strand	-
ENSG00000258485	SRMP2	SRM pseudogene 2 	processed pseudogene	Chromosome 14: 60919240-60920155reverse strand	-
ENSG00000130427	EPO	erythropoietin 	protein coding	Chromosome 7: 100720468-100723700forward strand	-
ENSG00000238417	RNU7-63P	"RNA, U7 small nuclear 63 pseudogene "	snRNA	Chromosome 16: 8705456-8705517reverse strand	-
ENSG00000200789	RNU1-65P	"RNA, U1 small nuclear 65, pseudogene "	snRNA	Chromosome 10: 84003332-84003479forward strand	-
ENSG00000278640	Metazoa_SRP	Metazoan signal recognition particle RNA 	misc RNA	Chromosome 11: 105352670-105352956reverse strand	-
ENSG00000254273	AC018620.1	chromatin accessibility complex protein 1 (CHRAC1) pseudogene	processed pseudogene	Chromosome 8: 73511276-73511654reverse strand	-
ENSG00000237080	EHMT2-AS1	EHMT2 and SLC44A4 antisense RNA 1 	lncRNA	Chromosome 6: 31877808-31884204forward strand	-
ENSG00000089101	CFAP61	cilia and flagella associated protein 61 	protein coding	Chromosome 20: 20052514-20360703forward strand	-
